	Id	Text	Label
0	1241490299215634434	official death toll covid19 united kingdom great germany + poland switzerland + austria + portugal + greece + sweden finland + norway + ireland combine uk dead group dead httpurl	1
1	1245916400981381130	dearest mr . president @user coronavirus death hour pandemic international crime china nature disasster use authority protect people world china # chinahastocompensateall	1
2	1241132432402849793	late update march new case new death united states illinois governo pritzker issue stay home order resident new york governor cuomo order % non - essential worker stay home penn source /coronavirus country us/	1
3	1236107253666607104	zhen ba gong zhu bu dang gan bu   breaking people grand princess cruise ship dock california coast test positive coronavirus include crew member passenger vice pre mike pence say people test negative httpurl httpurl	1
4	1239673817552879619	oklahoma city state department education announce monday closure k-12 public school statewide april number covid-19 case climb risk community spread grow httpurl	0
5	1240790181860409344	democrats manage fight ebola call african virus cluster covid-19 case emerge new york city hassidic neighborhood matter time local trump klux klan start talk jew virus	0
6	1249147011003187200	number covid19 death surpass worldwide ny surpass italy number record death   new york state coronavirus case country worldwide httpurl	1
7	1241533144802758656	@user @user week ago today march case covid fl today count % increase week slave trump incompetence imagine saturday % increase + resign	1
8	1236363091002011649	coronavirus impact close taj mahal till march end agra mayor urge people scare foreigner look suspicion situation turn nasty tarnish india image internationally say possible tarnish india httpurl	0
9	1245725162957242368	dear @user case tool & machine # bangladesh money bcoz climate fund money steal rule party @user @user @user @user httpurl	0
10	1240721152076546049	los angeles county high number coronavirus case california @user break impact covid19 la cancel college commencement haphazard health screening lax airport # cheddarlive httpurl	0
11	1246739551227387905	covid19 update # sothsudan fist positive patient yo dutch arrive country netherlands addis ababa february # ssot httpurl	1
12	1242799513619664896	watch live discussion covid19 union health minister dr harsh vardhan union health secretary ms preeti sudan & dg icmr dr balram bhargava httpurl	0
13	1251122786225045504	coronavirus case africa shoot thousand month accord provisional modelling regional @user official say thursday @user httpurl httpurl httpurl	0
14	1241449715654410240	accord report come contact test positive covid-19 % chance catch report world health organization long read worth httpurl	0
15	1241173819693252608	senator urge jeff bezos amazon warehouse worker sick leave hazard pay cnbc senator urge jeff bezos amazon warehouse worker sick leave hazard pay cnbc amazon warehouse worker fear catch coronavirus httpurl httpurl	0
16	1245311331579899906	@user professor die contract # coronavirus book condolence available online soon professor peter sinclair department economics httpurl	1
17	1240108182409601024	eu impose entry ban day death toll united states mount death toll italy # coronavirus cross spain colombia malaysia canada seal borders # coronaviruspandemic # cuarentenanacional # cuarentenacoronavirus # coronaalert httpurl	1
18	1248321628808728576	inaw lilwhi wainaw ilayhi raji`uwna sad hear pass away sye mehdi shah brother law cm sindh test positive covid_19 allah rest soul peace	1
19	1236128165745094663	@user carma & family san jose possibly infect coronavirus feb seattle way way case seattle httpurl	1
20	1244684987351404551	think president cyril ramaphosa address day monday friday ordeal covid_19 coronavirusinsa # lockdownsa	0
21	1242951300184076288	day shout go kevin @user great coverage covid community response need couple applause med student track positive peep contact httpurl	0
22	1241183452243693568	want argue want racist @user freak stop call chinese virus disgusting stir bigotry hatred argue people die hateful # racist scum stfu # covid2019 # coronacrisis	0
23	1241076120742768640	half uruguay covid-19 case trace single fashion designer httpurl	0
24	1244676665990696961	e don happen casala don burst governor oyo state seyi makinde test positive deadly coronavirus day hold political rally state coronavirustruth	1
25	1248774057018806272	line car long folk demand @user release migrant hold eloy try stop spread covid human right group migrant detention center test positive virus @user httpurl	1
